"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"GCAM-CGS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1310.87256817385,1863.3,29.6477986274972
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1504.65588515461,1863.3,19.2477923493475
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1363.27993729408,1863.3,26.8351882523439
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1486.69406546327,1863.3,20.2117712948385
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1255.05720338779,1863.3,32.6433100741807
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1481.78383,1863.3,20.4752949068856
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1246.42889,1863.3,33.10637632158
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1544.15657,1863.3,17.1278607846294
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1331.05283,1863.3,28.5647598347019
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1504.76477565588,1863.3,19.2419483896376
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1283.05267565183,1863.3,31.1408428244602
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1523.45263,1863.3,18.2390044544625
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1306.02284,1863.3,29.9080749208394
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1462.97875,1863.3,21.4845301347072
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1231.03339,1863.3,33.9326254494714
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1561.15556,1863.3,16.2155551977674
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1376.82109,1863.3,26.1084586486341
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1493.40111677302,1863.3,19.8518157691721
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1356.21828072744,1863.3,27.2141748120301
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1508.56110082758,1863.3,19.0382063635709
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1430.38206139489,1863.3,23.2339364892989
"NEMS-EIA","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1657.054932,1863.3,11.068806311383
"NEMS-EIA","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1592.773071,1863.3,14.5186995652874
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1672.112427,1863.3,10.260697311222
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1615.413452,1863.3,13.3036305479526
"NEMS-OP","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1641.628418,1863.3,11.8967199055439
"NEMS-OP","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1471.571655,1863.3,21.0233641925616
"NEMS-OP","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1701.325806,1863.3,8.69286717114796
"NEMS-OP","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1601.090576,1863.3,14.0723138517684
"NEMS-OP","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1561.681152,1863.3,16.1873476090807
"NEMS-OP","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1322.033325,1863.3,29.0488206407986
"NEMS-RHG","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1508.59734546816,1863.3,19.0362611781162
"NEMS-RHG","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1387.05900584666,1863.3,25.5590078974583
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1533.1896159726,1863.3,17.7164377194977
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1423.41741805767,1863.3,23.6077165213508
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1569.14666069388,1863.3,15.7866870233522
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1376.14761897839,1863.3,26.1446026416366
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1595.66732239906,1863.3,14.3633702356539
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1472.85569929252,1863.3,20.9544518170706
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1583.87483206449,1863.3,14.9962522371874
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1204.93197278912,1863.3,35.3334421301392
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1540.45077262693,1863.3,17.3267443446073
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1108.65633270321,1863.3,40.5003846560826
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1630.12833486661,1863.3,12.5139089321846
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1362.4819177516,1863.3,26.8780165431438
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1663.08141962422,1863.3,10.7453754293878
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1446.13628727425,1863.3,22.3884351809019
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1577.89303703,1863.3,15.3172845473085
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1441.12433258,1863.3,22.6574178833253
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1603.71333914,1863.3,13.9315548145763
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1508.51416603,1863.3,19.0407252707562
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1599.23476078,1863.3,14.1719121569259
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1495.21077201,1863.3,19.7546947882789
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1599.00621754,1863.3,14.1841776665057
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1481.01290869,1863.3,20.516668883701
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1603.62516719,1863.3,13.9362868464552
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1509.77878506,1863.3,18.972855414587
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1621.42361573,1863.3,12.9810757403531
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1564.93717276,1863.3,16.0126027606934
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1576.89153993,1863.3,15.3710331170504
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1435.00714339,1863.3,22.9857165571835
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1581.15681512,1863.3,15.1421233768046
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1450.40415675,1863.3,22.1593862099501
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2030,939.539060262288,1587.1,40.8015209966424
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2035,849.980886540497,1587.1,46.4444025870773
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2030,906.18328585119,1587.1,42.9032016979907
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2035,809.271711792823,1587.1,49.0094063516588
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1005.28862016994,1587.1,36.6587725934131
"EPS-EI","IRA","Mt CO2/yr","United States","Industry.IRA",2035,855.909080648703,1587.1,46.0708789207546
"EPS-EI","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1164.84246822176,1587.1,26.6056034136624
"EPS-EI","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1140.89103340564,1587.1,28.1147354668492
"GCAM-CGS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1185.5497590578,1587.1,25.3008783909142
"GCAM-CGS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1174.68798661098,1587.1,25.9852569711438
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1498.26635705309,1587.1,5.59723035391041
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1533.32961461054,1587.1,3.38796455103415
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,963.622109428402,1587.1,39.2840961862263
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,922.04813032617,1587.1,41.9035895453235
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,919.1014425504,1587.1,42.0892544546405
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,867.3696583244,1587.1,45.3487708194569
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1002.99869585868,1587.1,36.8030561490341
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,983.63074626995,1587.1,38.0233919557715
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,979.071266002796,1587.1,38.3106756976374
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,949.082398361937,1587.1,40.2002143304179
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,990.45318168326,1587.1,37.5935239314939
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,974.32311799554,1587.1,38.6098470168521
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,956.29472012697,1587.1,39.7457803461048
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,915.850157890046,1587.1,42.2941114050756
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1076.63150080117,1587.1,32.1636002267551
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1044.9197681067,1587.1,34.1616931443072
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1314.64620977431,1587.1,17.1667689638769
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1222.2666622171,1587.1,22.9874196826221
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1336.12445394298,1587.1,15.8134677119914
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1367.98578387372,1587.1,13.8059489714747
"NEMS-EIA","IRA","Mt CO2/yr","United States","Industry.IRA",2030,990.184425017752,1587.1,37.6104577520161
"NEMS-EIA","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1000.38892173886,1587.1,36.9674928020376
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1110.1675279278,1587.1,30.0505621619433
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1114.85936349298,1587.1,29.7549389771921
"NEMS-OP","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1128.404297,1587.1,28.901499779472
"NEMS-OP","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1055.642578,1587.1,33.4860703169302
"NEMS-OP","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1263.367188,1587.1,20.3977576712242
"NEMS-OP","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1233.428223,1587.1,22.2841520383089
"NEMS-OP","IRA","Mt CO2/yr","United States","Industry.IRA",2030,970.119629,1587.1,38.8747004599584
"NEMS-OP","IRA","Mt CO2/yr","United States","Industry.IRA",2035,929.613037,1587.1,41.4269398903661
"NEMS-RHG","IRA","Mt CO2/yr","United States","Industry.IRA",2030,937.684138612776,1587.1,40.9183959036749
"NEMS-RHG","IRA","Mt CO2/yr","United States","Industry.IRA",2035,844.772202018129,1587.1,46.7725913919646
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1070.74176083867,1587.1,32.5347009741873
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1049.8547982036,1587.1,33.8507467580118
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1279.63544614596,1587.1,19.3727272291629
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1044.22398984278,1587.1,34.2055327425629
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1342.83672051109,1587.1,15.3905412065347
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1305.60388833707,1587.1,17.7365075712264
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2030,911.216300940439,1587.1,42.5860814730994
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2035,688.092322643343,1587.1,56.6446775475179
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2030,888.091832229581,1587.1,44.043108044258
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2035,659.41247637051,1587.1,58.4517373593025
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2030,911.317387304508,1587.1,42.5797122232684
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Industry.IRA",2035,725.701384583592,1587.1,54.2750056969572
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1069.43215031315,1587.1,32.6172169168198
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1020.4880302394,1587.1,35.701088133111
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,977.63590226,1587.1,38.4011150992376
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,900.87994406,1587.1,43.2373546682629
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1078.39273895,1587.1,32.0526281299225
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1082.30311389,1587.1,31.8062432178187
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1037.57958193,1587.1,34.6241836097284
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1037.94050988,1587.1,34.6014422607271
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1031.49649343,1587.1,35.0074668622015
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1034.02849829,1587.1,34.8479302948774
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,1052.85921725,1587.1,33.6614443166782
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,1054.35280177,1587.1,33.5673365402306
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Industry.No IRA",2030,1222.36571587,1587.1,22.9811785098607
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Industry.No IRA",2035,1183.25485155,1587.1,25.4454759277928
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,987.15516466,1587.1,37.8013253947451
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,966.50805777,1587.1,39.1022583473001
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2030,987.39329949,1587.1,37.7863209948964
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Industry.IRA",2035,912.10381084,1587.1,42.5301612475584
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,919.184219686818,2245,59.0563821965783
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,723.352579489139,2245,67.7793951229782
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,745.371195749372,2245,66.7986104343264
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,703.803924928776,2245,68.6501592459342
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,969.958897431639,2245,56.7947039005952
"EPS-EI","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,759.708783048968,2245,66.1599651203132
"EPS-EI","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1396.55401818743,2245,37.7926940673751
"EPS-EI","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1358.81679871617,2245,39.4736392554045
"GCAM-CGS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,924.91011011443,2245,58.8013313980209
"GCAM-CGS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,752.928841692926,2245,66.4619669624532
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1479.30626115004,2245,34.1066253385285
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1428.95943971203,2245,36.3492454471254
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1015.18371346658,2245,54.7802354803303
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,944.910287841345,2245,57.9104548845726
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,911.3916,2245,59.4034922048998
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,823.6024,2245,63.3139242761693
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1066.3322,2245,52.5019064587973
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,1006.3374,2245,55.174280623608
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1039.45558035695,2245,53.6990832803141
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,974.247574611141,2245,56.603671509526
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1058.1822,2245,52.8649354120267
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,1015.5188,2245,54.7653095768374
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1008.8972,2245,55.0602583518931
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,936.5653,2245,58.2821692650334
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1346.2546,2245,40.0332026726058
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1261.0282,2245,43.8294788418708
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1140.93267345267,2245,49.1789455032217
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,778.095057055452,2245,65.340977414011
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1296.97444522943,2245,42.228309789335
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1335.51215473138,2245,40.5117080297826
"NEMS-EIA","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1127.282226,2245,49.7869832516704
"NEMS-EIA","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,1077.198486,2245,52.0178848106904
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1420.761658,2245,36.7144027616927
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1353.036682,2245,39.7311054788419
"NEMS-OP","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,996.583252,2245,55.608763830735
"NEMS-OP","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,809.16452,2245,63.9570369710468
"NEMS-OP","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1297.052856,2245,42.2248171046771
"NEMS-OP","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1214.528747,2245,45.9007239643653
"NEMS-OP","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,841.490448,2245,62.5171292650334
"NEMS-OP","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,711.765197,2245,68.2955368819599
"NEMS-RHG","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,915.68476129121,2245,59.2122600761154
"NEMS-RHG","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,967.475102907779,2245,56.9053406277159
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1281.06217678312,2245,42.9370968025335
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1210.8780335536,2245,46.0633392626457
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1071.83240715325,2245,52.2569083673383
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,737.820543108383,2245,67.1349424005175
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1180.60088583863,2245,47.4119872677669
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1104.58191029568,2245,50.7981331716845
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1091.90886699507,2245,51.3626339868564
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,759.975704567541,2245,66.1480755203768
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1035.45739514349,2245,53.8771761628736
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,707.931190926276,2245,68.4663166625267
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,1087.55427782889,2245,51.5566023238803
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,788.816697664807,2245,64.8633987677146
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1317.48643006263,2245,41.3146356319541
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1133.37568248635,2245,49.5155598001626
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,695.0148509,2245,69.0416547483296
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,532.9041906,2245,76.2626195723831
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,950.7345211,2245,57.65102355902
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,814.0548476,2245,63.7392050066815
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,826.8316008,2245,63.170084596882
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,666.1815082,2245,70.3259907260579
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,809.4015284,2245,63.9464798040089
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,654.6115938,2245,70.8413543964365
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,894.8248726,2245,60.141431064588
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,739.7199791,2245,67.0503350066815
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2030,1276.5641196,2245,43.1374556971047
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Buildings.No IRA",2035,1136.7822893,2245,49.3638178485523
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,655.6181693,2245,70.7965180712695
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,507.6345757,2245,77.3882148908686
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2030,741.1633731,2245,66.9860412873051
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Buildings.IRA",2035,585.8322087,2245,73.9050241113586
